method,reference,source_table,c_value,f1_ceiling,aupr_ceiling,f1_ratio,aupr_ratio
probe_attention,trrust_human,probe_priors,0.11845873751475201,0.21182495793804745,0.12124876185056886,0.0,7.449376397693593e-05
probe_attention,trrust_human,probe_priors,0.12170418237816988,0.21699871372528892,0.12455098035544265,0.0,7.251871179187628e-05
probe_attention,trrust_human,probe_priors,0.12494962724158774,0.22214261726183812,0.12785246453711605,0.0,7.064608946329608e-05
probe_attention,trrust_human,probe_priors,0.1281950721050056,0.22725692617291274,0.13115322323736334,0.0,6.886812557740362e-05
probe_attention,trrust_human,probe_priors,0.13144051696842346,0.2323418951278227,0.1344532648938021,0.0,6.717781568879069e-05
probe_attention,trrust_human,probe_priors,0.13468596183184134,0.23739777588224287,0.1377525975687632,0.0,6.556882996912829e-05
probe_attention,trrust_human,probe_priors,0.1379314066952592,0.24242481731976231,0.1410512289754283,0.0,6.403543388739598e-05
probe_attention,trrust_human,probe_priors,0.14117685155867704,0.24742326549272456,0.14434916650155402,0.0,6.257241982547055e-05
probe_attention,trrust_human,probe_priors,0.14442229642209492,0.252393363662373,0.14764641723105612,0.0,6.117504790960908e-05
probe_attention,trrust_human,probe_priors,0.1476677412855128,0.257335352338315,0.15094298796369146,0.0,5.9838994640576857e-05
probe_attention,trrust_human,probe_priors,0.15091318614893065,0.2622494693173186,0.15423888523304485,0.0,5.8560308148913363e-05
probe_attention,trrust_human,probe_priors,0.1541586310123485,0.2671359497214541,0.1575341153230005,0.0,5.7335369099401975e-05
probe_attention,trrust_human,probe_priors,0.15740407587576638,0.2719950260355949,0.1608286842828554,0.0,5.616085642973108e-05
probe_attention,trrust_human,probe_priors,0.16064952073918423,0.276826928144288,0.16412259794121328,0.0,5.503371724000641e-05
probe_attention,trrust_human,probe_priors,0.16389496560260208,0.2816318833680084,0.16741586191878044,0.0,5.395114025798749e-05
probe_attention,trrust_human,probe_priors,0.16714041046601996,0.2864101164988085,0.1707084816401709,0.0,5.291053239422947e-05
probe_attention,trrust_human,probe_priors,0.17038585532943784,0.2911618498353741,0.1740004623448156,0.0,5.190949797531449e-05
probe_attention,trrust_human,probe_priors,0.17363130019285566,0.2958873032174992,0.1772918090970596,0.0,5.0945820304914416e-05
probe_attention,trrust_human,probe_priors,0.17687674505627354,0.3005866940599901,0.18058252679552317,0.0,5.0017445253822364e-05
probe_attention,trrust_human,probe_priors,0.18012218991969142,0.3052602373860099,0.18387262018179132,0.0,4.91224666231544e-05
probe_attention,trrust_human,probe_priors,0.18336763478310927,0.30990814585987453,0.18716209384849344,0.0,4.825911306112851e-05
probe_attention,trrust_human,probe_priors,0.18661307964652712,0.31453062981931085,0.19045095224682512,0.0,4.742573634436927e-05
probe_attention,trrust_human,probe_priors,0.189858524509945,0.3191278973071864,0.1937391996935599,0.0,4.66208008605304e-05
probe_attention,trrust_human,probe_priors,0.19310396937336288,0.32370015410272107,0.1970268403775942,0.0,4.5842874150963325e-05
probe_attention,trrust_human,probe_priors,0.1963494142367807,0.32824760375219164,0.20031387836606387,0.0,4.509061839083333e-05
probe_attention,trrust_human,probe_priors,0.19959485910019859,0.3327704475991373,0.2036003176100677,0.0,4.4362782700027376e-05
probe_attention,trrust_human,probe_priors,0.20284030396361646,0.33726888481407585,0.20688616195002782,0.0,4.365819619184431e-05
probe_attention,trrust_human,probe_priors,0.2060857488270343,0.3417431124237406,0.2101714151207176,0.0,4.29757616781714e-05
probe_attention,trrust_human,probe_priors,0.20933119369045217,0.34619332533984704,0.21345608075598144,0.0,4.2314449959931106e-05
probe_attention,trrust_human,probe_priors,0.21257663855387005,0.35061971638739614,0.21674016239316982,0.0,4.167329464027672e-05
probe_attention,trrust_human,probe_priors,0.21582208341728792,0.3550224763325254,0.220023663477312,0.0,4.1051387405534055e-05
probe_attention,trrust_human,probe_priors,0.21906752828070575,0.35940179390991484,0.2233065873650448,0.0,4.044787372540293e-05
probe_attention,trrust_human,probe_priors,0.22231297314412363,0.3637578558497564,0.2265889373283158,0.0,3.986194892959263e-05
probe_attention,trrust_human,probe_priors,0.2255584180075415,0.3680908469042943,0.22987071655787636,0.0,3.929285462299354e-05
probe_attention,trrust_human,probe_priors,0.22880386287095933,0.37240094987394545,0.23315192816658026,0.0,3.8739875405785584e-05
probe_attention,trrust_human,probe_priors,0.2320493077343772,0.37668834563300724,0.23643257519250097,0.0,3.820233586864248e-05
probe_attention,trrust_human,probe_priors,0.2352947525977951,0.380953213154959,0.23971266060187976,0.0,3.767959783648224e-05
probe_attention,trrust_human,probe_priors,0.23854019746121297,0.3851957295373665,0.24299218729191668,0.0,3.717105783710296e-05
probe_grad_input,dorothea_human,probe_priors,0.04748801220575414,0.09067027336333133,0.04756332442546047,0.0016974935613246406,0.005816843356779755
probe_grad_input,dorothea_human,probe_priors,0.0494262984182339,0.09419679779844006,0.049504275782436755,0.001633943072747945,0.0055887780062981365
probe_grad_input,dorothea_human,probe_priors,0.05136458463071366,0.09771031929662194,0.05144520607867513,0.0015751888474600563,0.005377923985521433
probe_grad_input,dorothea_human,probe_priors,0.05330287084319342,0.10121090964182644,0.05338611573327283,0.0015207076567385599,0.00518240377503559
probe_grad_input,dorothea_human,probe_priors,0.05524115705567318,0.10469864009058685,0.05532700513619588,0.0014700497074712033,0.005000603358695062
